0,1,2,3,4,5,6,7
7.756,uf,200 m² útiles,4 dormitorios,"r-662, cunco, araucanía, chile, lago colico, cunco",venta,parcelas,
60.000.000,$,134 m² útiles,4 dormitorios,"la estrella, chile, la estrella",venta,parcelas,
3.803,uf,42 - 132 m² útiles,1 - 2 baños,"general john o`brien 2677, parque bicentenario, vitacura",venta,oficinas,
2.390,uf,29 - 139 m² útiles,1 baño,"avenida apoquindo 7331, metro hernando de magallanes, las condes",venta,oficinas,
2.171,uf,18 - 59 m² útiles,1 - 3 privados,1 - 2 baños,"rodó 1954, inés de suárez, providencia",venta,oficinas
1.661,uf,17 - 58 m² útiles,1 - 3 privados,1 - 2 baños,"av. las condes 10465, estoril, las condes",venta,oficinas
3.570,uf,34 - 98 m² útiles,1 - 4 privados,1 - 2 baños,"av. las condes 7890, alto las condes, las condes",venta,oficinas
2.330,uf,26 - 132 m² útiles,1 - 3 privados,1 - 2 baños,"av. la dehesa 440, la dehesa, lo barnechea",venta,oficinas
3.437,uf,33 - 41 m² útiles,1 - 2 privados,1 baño,"bernarda morin 467, salvador, providencia",venta,oficinas
5.467,uf,66 - 77 m² útiles,2 baños,"alcalde eduardo castillo velasco 1662, estadio nacional, ñuñoa",venta,oficinas,
2.284,uf,23 - 34 m² útiles,1 - 2 privados,1 baño,"edmundo eluchans 3011, reñaca, viña del mar",venta,oficinas
2.230,uf,22 - 46 m² útiles,1 - 2 privados,1 baño,"limache 3437, el salto, viña del mar",venta,oficinas
1.937,uf,29 - 118 m² útiles,1 - 3 privados,1 baño,"membrillar 230, rancagua",venta,oficinas
2.733,uf,26 - 55 m² útiles,1 privado,1 baño,"av. concón reñaca 4000, montemar, concón",venta,oficinas
1.550,uf,25 - 158 m² útiles,1 baño,"trizano 430, estadio germán becker, temuco",venta,oficinas,
2.435,uf,20 - 42 m² útiles,1 - 3 privados,1 - 2 baños,"antonio bellet 183, pedro de valdivia, providencia",venta,oficinas
1.250,uf,13 - 46 m² útiles,1 - 2 baños,"libertador general bernardo o’higgins 236, centro de concepción, concepción",venta,oficinas,
2.046,uf,21 - 59 m² útiles,1 - 2 baños,"josé maría escrivá balaguer 851, montemar, concón",venta,oficinas,
2.680,uf,22 - 69 m² útiles,1 - 3 privados,1 - 2 baños,"general del canto 180, manuel montt, providencia",venta,oficinas
1.916,uf,24 - 49 m² útiles,1 baño,"av. capitán ramón freire 225, centro de rancagua, rancagua",venta,oficinas,
2.384,uf,26 - 57 m² útiles,"av. bosques de montemar 30, reñaca, viña del mar",venta,oficinas,,
1.590,uf,24 - 49 m² útiles,1 - 3 privados,1 - 2 baños,"colón 352, centro de la serena, la serena",venta,oficinas
2.599,uf,19 - 49 m² útiles,1 - 3 privados,1 - 2 baños,"padre mariano 94, pedro de valdivia, providencia",venta,oficinas
2.496,uf,22 - 861 m² útiles,"balmaceda 2455, centro de antofagasta, antofagasta",venta,oficinas,,
1.990,uf,27 - 30 m² útiles,1 privado,1 baño,"av. reñaca norte 25, reñaca, viña del mar",venta,oficinas
